"Date","BRANTNER DITCH_0200809","RIVERSIDE CANAL_0100503","BIG THOMPSON DITCH & MANUFACTURING CO._0400503","S. BOULDER CANON DITCH_0600593","HARMONY DITCH 1_6400511"
2000-01-01,0.00,244.00,0.00,0.00,0.00
2000-01-02,0.00,218.00,0.00,0.00,0.00
2000-01-03,0.00,216.00,0.00,0.00,0.00
2000-01-04,0.00,221.00,0.00,0.00,0.00
2000-01-05,0.00,223.00,0.00,0.00,0.00
2000-01-06,0.00,218.00,0.00,0.00,0.00
2000-01-07,0.00,216.00,0.00,0.00,0.00
2000-01-08,0.00,206.00,0.00,0.00,0.00
2000-01-09,0.00,261.00,0.00,0.00,0.00
2000-01-10,0.00,294.00,0.00,0.00,0.00
2000-01-11,0.00,235.00,0.00,0.00,0.00
2000-01-12,0.00,254.00,0.00,0.00,0.00
2000-01-13,0.00,273.00,0.00,0.00,0.00
2000-01-14,0.00,233.00,0.00,0.00,0.00
2000-01-15,0.00,303.00,0.00,0.00,0.00
2000-01-16,0.00,336.00,0.00,0.00,0.00
2000-01-17,0.00,318.00,0.00,0.00,0.00
2000-01-18,0.00,308.00,0.00,0.00,0.00
2000-01-19,0.00,317.00,0.00,0.00,0.00
2000-01-20,0.00,328.00,0.00,0.00,0.00
2000-01-21,0.00,316.00,0.00,0.00,0.00
2000-01-22,0.00,339.00,0.00,0.00,0.00
2000-01-23,0.00,344.00,0.00,0.00,0.00
2000-01-24,0.00,366.00,0.00,0.00,0.00
2000-01-25,0.00,405.00,0.00,0.00,0.00
2000-01-26,0.00,385.00,0.00,0.00,0.00
2000-01-27,0.00,398.00,0.00,0.00,0.00
2000-01-28,0.00,397.00,0.00,0.00,0.00
2000-01-29,0.00,401.00,0.00,0.00,0.00
2000-01-30,0.00,379.00,0.00,0.00,0.00
2000-01-31,0.00,242.00,0.00,0.00,0.00
2000-02-01,0.00,0.00,0.00,0.00,0.00
2000-02-02,0.00,0.00,0.00,0.00,0.00
2000-02-03,0.00,0.00,0.00,0.00,0.00
2000-02-04,0.00,0.00,0.00,0.00,0.00
2000-02-05,0.00,0.00,0.00,0.00,0.00
2000-02-06,0.00,0.00,0.00,0.00,0.00
2000-02-07,0.00,0.00,0.00,0.00,0.00
2000-02-08,0.00,0.00,0.00,0.00,0.00
2000-02-09,0.00,0.00,0.00,0.00,0.00
2000-02-10,0.00,0.00,0.00,0.00,0.00
2000-02-11,0.00,0.00,0.00,0.00,0.00
2000-02-12,0.00,0.00,0.00,0.00,0.00
2000-02-13,0.00,0.00,0.00,0.00,0.00
2000-02-14,0.00,0.00,0.00,0.00,0.00
2000-02-15,0.00,0.00,0.00,0.00,0.00
2000-02-16,0.00,0.00,0.00,0.00,0.00
2000-02-17,0.00,0.00,0.00,0.00,0.00
2000-02-18,0.00,0.00,0.00,0.00,0.00
2000-02-19,0.00,0.00,0.00,0.00,0.00
2000-02-20,0.00,0.00,0.00,0.00,0.00
2000-02-21,0.00,165.00,0.00,0.00,0.00
2000-02-22,0.00,411.00,0.00,0.00,0.00
2000-02-23,0.00,415.00,0.00,0.00,0.00
2000-02-24,0.00,414.00,0.00,0.00,0.00
2000-02-25,0.00,418.00,0.00,0.00,0.00
2000-02-26,0.00,361.00,0.00,0.00,0.00
2000-02-27,0.00,295.00,0.00,0.00,0.00
2000-02-28,0.00,293.00,0.00,0.00,0.00
2000-02-29,0.00,310.00,0.00,0.00,0.00
2000-03-01,0.00,222.00,0.00,0.00,0.00
2000-03-02,0.00,217.00,0.00,0.00,0.00
2000-03-03,0.00,212.00,0.00,0.00,0.00
2000-03-04,0.00,218.00,0.00,0.00,0.00
2000-03-05,0.00,217.00,0.00,0.00,0.00
2000-03-06,0.00,204.00,0.00,0.00,0.00
2000-03-07,0.00,130.00,0.00,0.00,0.00
2000-03-08,0.00,87.00,0.00,0.00,0.00
2000-03-09,0.00,33.00,0.00,0.00,0.00
2000-03-10,0.00,21.00,0.00,0.00,0.00
2000-03-11,0.00,18.00,0.00,0.00,0.00
2000-03-12,0.00,0.00,0.00,0.00,0.00
2000-03-13,0.00,0.00,0.00,0.00,0.00
2000-03-14,0.00,0.00,0.00,0.00,0.00
2000-03-15,0.00,164.00,0.00,0.00,0.00
2000-03-16,0.00,289.00,0.00,0.00,0.00
2000-03-17,0.00,261.00,0.00,0.00,0.00
2000-03-18,0.00,275.00,0.00,0.00,0.00
2000-03-19,0.00,271.00,0.00,0.00,0.00
2000-03-20,0.00,266.00,0.00,0.00,0.00
2000-03-21,0.00,252.00,0.00,0.00,0.00
2000-03-22,0.00,208.00,0.00,0.00,0.00
2000-03-23,0.00,155.00,0.00,0.00,0.00
2000-03-24,0.00,148.00,0.00,0.00,0.00
2000-03-25,0.00,145.00,0.00,0.00,0.00
2000-03-26,0.00,141.00,0.00,0.00,0.00
2000-03-27,0.00,135.00,0.00,0.00,0.00
2000-03-28,0.00,87.00,0.00,0.00,0.00
2000-03-29,0.00,83.00,0.00,0.00,0.00
2000-03-30,18.70,96.00,0.00,0.00,0.00
2000-03-31,34.50,97.00,0.00,0.00,0.00
2000-04-01,34.50,102.00,0.00,0.00,0.00
2000-04-02,34.50,108.00,0.00,0.00,0.00
2000-04-03,34.50,105.00,0.00,0.00,0.00
2000-04-04,34.50,108.00,0.00,0.00,0.00
2000-04-05,34.50,97.00,0.00,0.00,0.00
2000-04-06,34.50,83.00,0.00,0.00,85.00
2000-04-07,34.50,74.00,0.00,0.00,280.00
2000-04-08,36.40,86.00,0.00,0.00,294.00
2000-04-09,38.00,124.00,0.00,0.00,270.00
2000-04-10,35.50,224.00,0.00,0.00,238.00
2000-04-11,32.00,224.00,0.00,0.00,178.00
2000-04-12,30.40,207.00,0.00,0.00,123.00
2000-04-13,27.60,190.00,0.00,0.00,94.00
2000-04-14,40.00,179.00,0.00,0.00,57.00
2000-04-15,48.00,177.00,0.00,0.00,52.00
2000-04-16,47.00,174.00,0.00,0.00,44.00
2000-04-17,46.00,171.00,0.00,0.00,41.00
2000-04-18,46.00,0.00,0.00,0.00,63.00
2000-04-19,46.00,0.00,0.00,0.00,182.00
2000-04-20,45.00,0.00,0.00,0.00,203.00
2000-04-21,44.00,0.00,0.00,0.00,197.00
2000-04-22,44.00,0.00,0.00,0.00,175.00
2000-04-23,44.00,0.00,0.00,0.00,86.00
2000-04-24,44.00,0.00,0.00,0.00,139.00
2000-04-25,45.00,0.00,0.00,0.00,150.00
2000-04-26,45.00,0.00,0.00,0.00,121.00
2000-04-27,55.00,0.00,0.00,0.00,120.00
2000-04-28,62.00,0.00,0.00,0.00,77.00
2000-04-29,64.00,0.00,0.00,0.00,69.00
2000-04-30,64.00,0.00,0.00,0.00,68.00
2000-05-01,64.00,0.00,0.00,6.02,262.00
2000-05-02,64.00,0.00,9.00,6.13,172.00
2000-05-03,64.00,0.00,14.00,6.70,0.00
2000-05-04,64.00,0.00,14.00,6.42,0.00
2000-05-05,64.00,0.00,14.00,3.92,20.00
2000-05-06,64.00,0.00,16.00,13.67,70.00
2000-05-07,64.00,0.00,20.00,22.12,55.00
2000-05-08,64.00,0.00,26.00,7.45,58.00
