WDID,Structure_Name,Structure Name AKAs,CIU_Code,Structure_Type,Water_Source,GNIS_ID,Stream_Mile,Associated Case Numbers,Associated Permits,Associated Meters,Contacts,User Assocation,POR Start,POR End,Div,WD,County,Designated Basin,Management District,Q10,Q40,Q160,Section,Township,Range,PM,Distance E/W,Direction E/W,Distance N/S,Direction N/S,UTM x,UTM y,Latitude,Longitude,Modified,More_Information
0100500,HOOVER DITCH,,Active Structure with contemporary diversion records (A),DITCH,SOUTH PLATTE RIVER,00201759,166.09,"02CW0404, 88CW0264B, CA0433, CA2283, CA2333, CA3764",,,"HOOVER DITCH CO (PETERSON, PAT)",,,,1,1,WELD,,,,SE,NE,15,5.0 N,64.0 W,S,,,,,539867,4472548,40.402588,-104.530183,4/26/2013 15:07,https://dnrweb.state.co.us/CDSS/Structures/Details/0100500
0100501,EMPIRE DITCH,EMPINLCO,Active Structure with contemporary diversion records (A),DITCH,SOUTH PLATTE RIVER,00201759,162.81,"CA16704, CA2142, CA8492",,,"BIJOU DITCH CO (WAGNER, DENICE); FREI, RACHAEL",,7/3/1969,10/31/2017,1,1,WELD,,,,SE,SW,19,5.0 N,63.0 W,S,,,,,543803,4469899,40.378525,-104.483983,4/24/2013 11:10,https://dnrweb.state.co.us/CDSS/Structures/Details/0100501
0100502,HARDIN DITCH,,Non-existent structure with no contemporary or historical record (N),DITCH,SOUTH PLATTE RIVER,00201759,157.92,"CA0433, CA2333, CA3764, W7895",,,NO INFORMATION,,,,1,1,WELD,,,SE,NW,NE,25,5.0 N,63.0 W,S,,,,,552561.7,4469524.3,40.374643,-104.380838,3/2/1989 0:00,https://dnrweb.state.co.us/CDSS/Structures/Details/0100502
0100503,RIVERSIDE CANAL,RIVCANCO,Active Structure with contemporary diversion records (A),DITCH,SOUTH PLATTE RIVER,00201759,161.96,"02CW0081, 02CW0086, 02CW0148, 06CW0279, 08CW0306, 11CW0058, 16CW3059, 86CW0387, 88CW0239, 88CW0264A, 89CW0027, 90CW0189, 94CW0292, 96CW0020, 97CW0088, CA16704, CA2142, CA3764, CA8492, W2919, W8098",,,"RIVERSIDE RESERVOIR & IRRIGATION CO (CHAPMAN, DON)",,5/28/1950,10/31/2017,1,1,WELD,,,SW,SW,SW,20,5.0 N,63.0 W,S,,,,,545085,4469975,40.379142,-104.468875,4/24/2013 11:10,https://dnrweb.state.co.us/CDSS/Structures/Details/0100503
0100504,ILLINOIS DITCH,,"Historical structure only - no longer exists or has records, but has historical data (H)",DITCH,SOUTH PLATTE RIVER,00201759,161.95,"CA0433, CA2333, CA3764",,,"MAGG, JIM",,5/16/1950,10/31/2010,1,1,WELD,,,SW,SW,SW,20,5.0 N,63.0 W,S,,,,,545120,4470005,40.37941,-104.468461,5/27/2011 12:45,https://dnrweb.state.co.us/CDSS/Structures/Details/0100504
0100505,BIJOU & PUTNAM D,,Active structure but diversion records are not maintained (U),DITCH,SOUTH PLATTE RIVER,00201759,148.35,,,,NO INFORMATION,,,,1,1,WELD,,,,,NE,13,4.0 N,62.0 W,S,,,,,562121.9,4463100.5,40.316117,-104.268854,3/8/1999 0:00,https://dnrweb.state.co.us/CDSS/Structures/Details/0100505
0100506,PUTNAM DITCH,,"Historical structure only - no longer exists or has records, but has historical data (H)",DITCH,SOUTH PLATTE RIVER,00201759,154.27,"CA0433, CA6534",,,PUTNAM DITCH CO,,4/15/1950,10/5/2010,1,1,WELD,,,NE,NE,NE,13,4.0 N,63.0 W,S,,,,,552953,4463159,40.317275,-104.376757,5/27/2011 13:04,https://dnrweb.state.co.us/CDSS/Structures/Details/0100506
0100507,BIJOU CANAL,BIJOUSCO,Active Structure with contemporary diversion records (A),DITCH,SOUTH PLATTE RIVER,00201759,154.23,"00CW0058, 03CW0262, 03CW0263, 04CW0081, 04CW0357, 05CW0183, 05CW0228, 12CW0227, 12CW0301, 81CW0382, 86CW0385, 86CW0386, 90CW0183, 94CW0014, 95CW0246, CA16704, CA2142, CA33847, CA41518, CA6534, W9172",,,"BIJOU DITCH CO (WAGNER, DENICE)",,4/10/1950,10/31/2017,1,1,WELD,,,,NE,NE,13,4.0 N,63.0 W,S,,,,,552958,4463147,40.317167,-104.376699,4/24/2013 9:59,https://dnrweb.state.co.us/CDSS/Structures/Details/0100507
0100508,RIVERSIDE RES OUT D,,"Inactive structure which physically exist, but no diversion records are maintained (I)",DITCH,SOUTH PLATTE RIVER,00201759,161.79,,,,"WOODWARD, BART",,10/31/1973,10/31/1987,1,1,WELD,,,,,SW,20,5.0 N,63.0 W,S,,,,,545398.2,4470224.4,40.381371,-104.465168,4/26/2013 15:07,https://dnrweb.state.co.us/CDSS/Structures/Details/0100508
0100509,CORONA RANCH DITCH,CORDITCO,Active Structure with contemporary diversion records (A),DITCH,SOUTH PLATTE RIVER,00201759,154.27,CA0433,,,CORONA RANCH DITCH CO,,6/30/1974,10/31/2017,1,1,WELD,,,NE,NE,NE,13,4.0 N,63.0 W,S,,,,,552953,4463159,40.317275,-104.376757,4/26/2013 15:08,https://dnrweb.state.co.us/CDSS/Structures/Details/0100509
